start_ts,end_ts,workload,fault_type,pattern,run_id
2026-01-01 00:15:00+00:00,2026-01-01 00:19:00+00:00,nginx,MEMORY_LEAK,constant,MEMORY_LEAK_constant_nginx_000
2026-01-01 00:15:00+00:00,2026-01-01 00:19:45+00:00,postgres,CPU_HOG,constant,CPU_HOG_constant_postgres_000
2026-01-01 00:15:00+00:00,2026-01-01 00:19:45+00:00,redis,DISK_STRESS,ramp,DISK_STRESS_ramp_redis_000
2026-01-01 00:29:00+00:00,2026-01-01 00:32:00+00:00,nginx,MEMORY_LEAK,ramp,MEMORY_LEAK_ramp_nginx_000
2026-01-01 00:29:00+00:00,2026-01-01 00:33:45+00:00,postgres,CPU_HOG,ramp,CPU_HOG_ramp_postgres_000
2026-01-01 00:29:00+00:00,2026-01-01 00:32:15+00:00,redis,MEMORY_LEAK,ramp,MEMORY_LEAK_ramp_redis_000
2026-01-01 00:43:00+00:00,2026-01-01 00:47:45+00:00,nginx,DISK_STRESS,ramp,DISK_STRESS_ramp_nginx_000
2026-01-01 00:43:00+00:00,2026-01-01 00:47:00+00:00,postgres,MEMORY_LEAK,constant,MEMORY_LEAK_constant_postgres_000
2026-01-01 00:43:00+00:00,2026-01-01 00:47:45+00:00,redis,CPU_HOG,ramp,CPU_HOG_ramp_redis_000
2026-01-01 00:57:00+00:00,2026-01-01 01:01:45+00:00,nginx,CPU_HOG,ramp,CPU_HOG_ramp_nginx_000
2026-01-01 00:57:00+00:00,2026-01-01 01:00:15+00:00,postgres,MEMORY_LEAK,ramp,MEMORY_LEAK_ramp_postgres_000
2026-01-01 00:57:00+00:00,2026-01-01 01:01:00+00:00,redis,MEMORY_LEAK,constant,MEMORY_LEAK_constant_redis_000
2026-01-01 01:11:00+00:00,2026-01-01 01:15:45+00:00,nginx,DISK_STRESS,constant,DISK_STRESS_constant_nginx_000
2026-01-01 01:11:00+00:00,2026-01-01 01:15:45+00:00,postgres,DISK_STRESS,constant,DISK_STRESS_constant_postgres_000
2026-01-01 01:11:00+00:00,2026-01-01 01:15:45+00:00,redis,DISK_STRESS,constant,DISK_STRESS_constant_redis_000
2026-01-01 01:25:00+00:00,2026-01-01 01:29:45+00:00,nginx,CPU_HOG,constant,CPU_HOG_constant_nginx_000
2026-01-01 01:25:00+00:00,2026-01-01 01:29:45+00:00,postgres,DISK_STRESS,ramp,DISK_STRESS_ramp_postgres_000
2026-01-01 01:25:00+00:00,2026-01-01 01:29:45+00:00,redis,CPU_HOG,constant,CPU_HOG_constant_redis_000
